iter	MAE	RMSE
409	0.1119502845	0.1444247359
410	0.1118601939	0.1442911733
411	0.1117443112	0.1441467966
412	0.1113612582	0.1436205655
413	0.1112460981	0.1434793959
414	0.1111580514	0.1433548298
415	0.1110228097	0.1431631713
416	0.1106447056	0.1426503239
417	0.1105115406	0.1424635612
418	0.1103795957	0.142280494
419	0.1102791774	0.1421165033
420	0.1101435753	0.1418947998
421	0.1100004804	0.1416165805
422	0.1098905978	0.1414022787
423	0.1097896424	0.1412736245
424	0.1096803372	0.1411470858
425	0.1095616823	0.1410019445
426	0.1094318482	0.1408253497
427	0.1093032059	0.1406522039
428	0.1091677193	0.1403898294
429	0.1090401868	0.1402200829
430	0.1089138274	0.1400536278
431	0.1087186035	0.1397566689
432	0.1085933755	0.1395932978
433	0.1084983174	0.1394410622
434	0.1083666824	0.1391933611
435	0.1082425515	0.139032826
436	0.1078409419	0.1385311866
437	0.1075706705	0.1382048598
438	0.1073243284	0.1378417147
439	0.1071959909	0.1376385704
440	0.1067503232	0.1370527825
441	0.1066054367	0.1368318422
442	0.1057964991	0.1356977258
443	0.1049996444	0.1346524363
444	0.1042423802	0.1336344623
445	0.1034982927	0.1326431045
446	0.1027849455	0.1315843517
447	0.1026643836	0.1314305829
448	0.1025449855	0.1312797972
449	0.1018851578	0.1303385056
450	0.101236693	0.1294241262
451	0.1005534323	0.1284311753
452	0.09987962127	0.1274955116
453	0.09921945968	0.1265917259
454	0.0986946253	0.1258472148
455	0.09818052576	0.1251293618
456	0.09805884872	0.1250065972
457	0.09755550111	0.1243143084
458	0.09697182811	0.1235378107
459	0.09685669564	0.1233918639
460	0.09633425245	0.1226313118
461	0.09582297851	0.1218965707
462	0.09562721572	0.1216254998
463	0.09545952921	0.1213823345
464	0.09534235182	0.1212658983
465	0.09517707341	0.1210285345
466	0.09468294845	0.120489393
467	0.09418471211	0.1197793997
468	0.09371095846	0.1190936474
469	0.09359824385	0.1189821294
470	0.09317242682	0.1184051658
471	0.09298306314	0.118150081
472	0.09281503103	0.1179200026
473	0.09259148768	0.117681428
474	0.09225187601	0.117196079
475	0.09192082954	0.1167224009
476	0.09159794153	0.116260111
477	0.09150498272	0.1161593252
478	0.09118250149	0.1157088221
479	0.09073911111	0.115072197
480	0.09069656883	0.1150212131
481	0.09065489944	0.1149710637
482	0.09057530859	0.1148753013
483	0.09027208544	0.1144451916
484	0.09019405821	0.1143519277
485	0.09011679001	0.1142605226
486	0.08998426012	0.1140099818
487	0.0899077218	0.113920832
488	0.08970043948	0.1137025161
489	0.08946764243	0.1132957092
490	0.08909821627	0.1126950854
491	0.08873969131	0.1120976717
492	0.08861390441	0.1118693277
493	0.08857842988	0.1118258023
494	0.08854313644	0.1117829797
495	0.08828021572	0.111385356
496	0.08820672364	0.1113024906
497	0.08794985153	0.1109749935
498	0.08760272753	0.1104286822
499	0.08733916761	0.1101782071
500	0.08726743481	0.1100983901
501	0.08692379625	0.1095410025
502	0.08685300343	0.1094632339
503	0.08663164379	0.1091279776
504	0.08659837613	0.1090897871
505	0.08637824264	0.1087157578
506	0.08630912414	0.1086411124
507	0.08619257876	0.1084386911
508	0.08586204232	0.1079304975
509	0.08564610538	0.1075690836
510	0.0854065668	0.1072745013
511	0.08515504391	0.1070386174
512	0.08491356022	0.1066568143
513	0.08484670502	0.1065857068
514	0.08452599143	0.1061008155
515	0.08431756325	0.1057986279
516	0.08425200555	0.1057296661
517	0.0839388336	0.1052636345
518	0.08361694417	0.1048279312
519	0.0834149931	0.1045415379
520	0.08321577308	0.1042620938
521	0.08315181441	0.1041955479
522	0.0828716178	0.1037973046
523	0.08267590649	0.1035267252
524	0.08242561266	0.1032575007
525	0.08219689633	0.1029052808
526	0.08189154419	0.1025039066
527	0.08182581613	0.1024402378
528	0.08163514995	0.1021804621
529	0.08134443065	0.1017676304
530	0.08113147939	0.1014817308
531	0.08088865307	0.1012218806
532	0.08060055355	0.1008380226
533	0.08034034242	0.1004795152
534	0.08010214404	0.1002255658
535	0.07992241533	0.09998828674
536	0.07970109039	0.09974093719
537	0.07956141452	0.09956528099
538	0.07934307215	0.0993261679
539	0.07921420221	0.09915655059
540	0.07899910939	0.09892329776
541	0.07882574986	0.09869621605
542	0.07862849298	0.09834971903
543	0.07843105497	0.09809394306
544	0.07823781591	0.0977584851
545	0.07804767321	0.09751285571
546	0.07787248808	0.09718804552
547	0.077699682	0.09687137339
548	0.07754303354	0.09663761183
549	0.07740031115	0.09643909685
550	0.07724699056	0.09621443099
551	0.07707944735	0.09591215768
552	0.07693993194	0.09572301942
553	0.07679089981	0.09550900952
554	0.07648450031	0.09510385047
555	0.07633876566	0.0948977726
556	0.07619523446	0.09469804521
557	0.07600788771	0.09438150035
558	0.07583741048	0.09407290996
559	0.07563005273	0.09373308046
560	0.07530578411	0.09335046036
561	0.07500234348	0.09295689694
562	0.07480259674	0.09263415257
563	0.07448851956	0.09226892222
564	0.07439035493	0.09215190613
565	0.0740979815	0.09178196161
566	0.07400238238	0.09166919039
567	0.07384673947	0.09139855718
568	0.07365750302	0.09110109821
569	0.07347107031	0.09081155349
570	0.07339400811	0.09073427398
571	0.07311431201	0.09039062241
572	0.07303823783	0.09031444559
573	0.07278130195	0.08999392875
574	0.07251108329	0.08966979141
575	0.07233414802	0.08940141126
576	0.07213351472	0.08919251141
577	0.07196124584	0.08893425343
578	0.07183640487	0.08882734518
579	0.07169610326	0.08862709517
580	0.07150197972	0.08842766715
581	0.07126193656	0.08813968575
582	0.07112304568	0.08794335066
583	0.07104999141	0.08786882991
584	0.07086133975	0.0876774758
